年月,銀行,銀行類別,項目,數值,英文欄位
9608,慶豐商業銀行,本國銀行,ATM裝設數,69,ATM_Cnt
9608,慶豐商業銀行,本國銀行,交易次數,99017,Txn_Cnt
9608,慶豐商業銀行,本國銀行,交易金額,1192000000,Txn_Bal
9608,臺灣中小企業銀行,本國銀行,發行金融卡,4513584,Issue_Card_Cnt
9608,臺灣中小企業銀行,本國銀行,流通金融卡,1909567,F_Card_Cnt
9608,臺灣中小企業銀行,本國銀行,ATM裝設數,442,ATM_Cnt
9608,臺灣中小企業銀行,本國銀行,交易次數,1900543,Txn_Cnt
9608,臺灣中小企業銀行,本國銀行,交易金額,31051000000,Txn_Bal
9608,渣打國際商業銀行,本國銀行,發行金融卡,2888961,Issue_Card_Cnt
9608,渣打國際商業銀行,本國銀行,流通金融卡,2219568,F_Card_Cnt
9608,渣打國際商業銀行,本國銀行,ATM裝設數,373,ATM_Cnt
9608,渣打國際商業銀行,本國銀行,交易次數,609304,Txn_Cnt
9608,渣打國際商業銀行,本國銀行,交易金額,8075000000,Txn_Bal
9608,臺中商業銀行,本國銀行,發行金融卡,1640013,Issue_Card_Cnt
9608,臺中商業銀行,本國銀行,流通金融卡,696960,F_Card_Cnt
9608,臺中商業銀行,本國銀行,ATM裝設數,165,ATM_Cnt
9608,臺中商業銀行,本國銀行,交易次數,452498,Txn_Cnt
9608,臺中商業銀行,本國銀行,交易金額,7459000000,Txn_Bal
9608,京城商業銀行,本國銀行,發行金融卡,788809,Issue_Card_Cnt
9608,京城商業銀行,本國銀行,流通金融卡,156425,F_Card_Cnt
9608,京城商業銀行,本國銀行,ATM裝設數,126,ATM_Cnt
9608,京城商業銀行,本國銀行,交易次數,184406,Txn_Cnt
9608,京城商業銀行,本國銀行,交易金額,4341000000,Txn_Bal
9608,花蓮區中小企業銀行,本國銀行,發行金融卡,213639,Issue_Card_Cnt
9608,花蓮區中小企業銀行,本國銀行,流通金融卡,144535,F_Card_Cnt
9608,花蓮區中小企業銀行,本國銀行,ATM裝設數,51,ATM_Cnt
9608,花蓮區中小企業銀行,本國銀行,交易次數,48872,Txn_Cnt
9608,花蓮區中小企業銀行,本國銀行,交易金額,620000000,Txn_Bal
9608,臺東區中小企業銀行,本國銀行,發行金融卡,325818,Issue_Card_Cnt
9608,臺東區中小企業銀行,本國銀行,流通金融卡,171936,F_Card_Cnt
9608,臺東區中小企業銀行,本國銀行,ATM裝設數,37,ATM_Cnt
9608,臺東區中小企業銀行,本國銀行,交易次數,50971,Txn_Cnt
9608,臺東區中小企業銀行,本國銀行,交易金額,1026000000,Txn_Bal
9608,外國銀行在台分行,本國銀行,發行金融卡,971024,Issue_Card_Cnt
9608,外國銀行在台分行,本國銀行,流通金融卡,584212,F_Card_Cnt
9608,外國銀行在台分行,本國銀行,ATM裝設數,65,ATM_Cnt
9608,外國銀行在台分行,本國銀行,交易次數,404030,Txn_Cnt
9608,外國銀行在台分行,本國銀行,交易金額,12262000000,Txn_Bal
9608,美商花旗銀行,本國銀行,發行金融卡,461418,Issue_Card_Cnt
9608,美商花旗銀行,本國銀行,流通金融卡,298541,F_Card_Cnt
9608,美商花旗銀行,本國銀行,ATM裝設數,39,ATM_Cnt
9608,美商花旗銀行,本國銀行,交易次數,33981,Txn_Cnt
9608,美商花旗銀行,本國銀行,交易金額,530000000,Txn_Bal
9608,荷商荷蘭銀行,本國銀行,發行金融卡,85596,Issue_Card_Cnt
9608,荷商荷蘭銀行,本國銀行,流通金融卡,24257,F_Card_Cnt
9608,荷商荷蘭銀行,本國銀行,ATM裝設數,8,ATM_Cnt
9608,荷商荷蘭銀行,本國銀行,交易次數,9651,Txn_Cnt
