etl_dt,bank_code,data_dt,bank_nm,mortgage_cnt,mortgage_bal,decorator_hse_cnt,decorator_hse_bal,ln_car_cnt,ln_car_bal,ln_worker_cnt,ln_worker_bal,other_cl_cnt,other_cl_bal
2013-11-26,161       ,2006-02-01,彰化第五信用合作社,528,854000000,11,15000000,0,0,0,0,16,6000000
2013-11-26,162       ,2006-02-01,彰化第六信用合作社,2599,3688000000,908,895000000,0,0,0,0,5216,481000000
2013-11-26,163       ,2006-02-01,彰化第十信用合作社,828,1099000000,5,3000000,0,0,0,0,14,2000000
2013-11-26,165       ,2006-02-01,彰化縣鹿港信用合作社,1084,1582000000,685,928000000,0,0,0,0,1076,260000000
2013-11-26,072       ,2006-02-01,德商德意志銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,087       ,2006-02-01,斐商標準銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,085       ,2006-02-01,新加坡商新加坡華僑銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,078       ,2006-02-01,新加坡商星展銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,029       ,2006-02-01,新加坡大華銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,052       ,2006-02-01,新竹國際商業銀行,38104,75847000000,11172,16362000000,394,104000000,2,1000000,220175,58132000000
2013-11-26,N004      ,2006-02-01,新竹市第一信用合作社,3419,8022000000,11,33000000,0,0,0,0,178,83000000
2013-11-26,N014      ,2006-02-01,新竹市第三信用合作社,2686,5397000000,344,273000000,0,0,0,0,1940,612000000
2013-11-26,321       ,2006-02-01,日商三井住友銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,098       ,2006-02-01,日商三菱東京日聯銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,020       ,2006-02-01,日商瑞穗實業銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,815       ,2006-02-01,日盛國際商業銀行,31036,49360000000,6216,12241000000,58490,22555000000,0,0,137827,22743000000
2013-11-26,118       ,2006-02-01,板信商業銀行,26447,47315000000,425,616000000,286,77000000,0,0,91184,12512000000
2013-11-26,127       ,2006-02-01,桃園信用合作社,1719,3323000000,800,1665000000,0,0,0,0,481,233000000
2013-11-26,079       ,2006-02-01,比利時商富通銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,099       ,2006-02-01,比利時商比利時聯合銀行,11,34000000,0,0,0,0,0,0,0,0
2013-11-26,320       ,2006-02-01,法商佳信銀行,0,0,0,0,0,0,0,0,254808,1473000000
2013-11-26,082       ,2006-02-01,法商法國巴黎銀行,21,88000000,0,0,0,0,0,0,21,6000000
2013-11-26,N012      ,2006-02-01,法國東方匯理銀行,10,40000000,0,0,0,0,0,0,0,0
2013-11-26,037       ,2006-02-01,法國興業銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,023       ,2006-02-01,泰國盤谷銀行,3,2000000,0,0,0,0,0,0,0,0
2013-11-26,222       ,2006-02-01,澎湖縣第一信用合作社,62,152000000,23,39000000,0,0,0,0,173,80000000
2013-11-26,N011      ,2006-02-01,澎湖縣第二信用合作社,573,890000000,84,74000000,12,9000000,0,0,942,370000000
2013-11-26,N006      ,2006-02-01,澳商澳洲紐西蘭銀行,3,8000000,0,0,0,0,0,0,0,0
2013-11-26,808       ,2006-02-01,玉山商業銀行,38969,121667000000,39225,82484000000,0,0,22,2000000,196079,22838000000
2013-11-26,092       ,2006-02-01,瑞士商瑞士銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,007       ,2006-02-01,第一商業銀行,72510,185624000000,31514,54052000000,14551,3385000000,20175,7543000000,33485,10402000000
2013-11-26,151       ,2006-02-01,第七商業銀行,5694,10770000000,1963,2544000000,15,7000000,0,0,220,5000000
2013-11-26,0         ,2006-02-01,總計,2208906,4142165000000,511563,776392000000,459877,140620000000,410558,173514000000,8675944,1154243000000
2013-11-26,091       ,2006-02-01,美商加州聯合銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,097       ,2006-02-01,美商富國銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,076       ,2006-02-01,美商摩根大通銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,N010      ,2006-02-01,美商美國紐約銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,022       ,2006-02-01,美商美國銀行,1,9000000,0,0,0,0,17,3000000,0,0
2013-11-26,095       ,2006-02-01,美商美聯銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,030       ,2006-02-01,美商道富銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,024       ,2006-02-01,美國運通銀行,0,0,1,1000000,0,0,0,0,44441,7529000000
2013-11-26,803       ,2006-02-01,聯邦商業銀行,36063,64921000000,11855,21837000000,49509,15562000000,258,58000000,369238,13051000000
2013-11-26,N015      ,2006-02-01,臺中商業銀行,28161,49237000000,1102,495000000,11,15000000,4353,3224000000,87033,11652000000
2013-11-26,N003      ,2006-02-01,臺南區中小企業銀行,15743,26146000000,7606,10230000000,5,1000000,2,1000000,10910,4974000000
2013-11-26,050       ,2006-02-01,臺灣中小企業銀行,77797,123869000000,7615,13768000000,0,0,15928,8789000000,45952,30665000000
2013-11-26,005       ,2006-02-01,臺灣土地銀行,295644,436015000000,55216,60144000000,289,219000000,127875,57806000000,71618,6785000000
2013-11-26,048       ,2006-02-01,臺灣工業銀行,5,13000000,0,0,0,0,0,0,0,0
2013-11-26,103       ,2006-02-01,臺灣新光商業銀行,15387,40747000000,553,912000000,25081,6669000000,0,0,237557,35693000000
2013-11-26,004       ,2006-02-01,臺灣銀行,95578,173812000000,23023,30436000000,0,0,18773,8577000000,2387350,126716000000
2013-11-26,215       ,2006-02-01,花蓮第一信用合作社,2570,4380000000,1390,2127000000,0,0,197,80000000,2325,709000000
2013-11-26,216       ,2006-02-01,花蓮第二信用合作社,4036,6777000000,6430,10833000000,0,0,2226,1005000000,124,12000000
2013-11-26,139       ,2006-02-01,苗栗縣竹南信用合作社,3201,4600000000,863,649000000,0,0,0,0,897,57000000
2013-11-26,N013      ,2006-02-01,英商巴克萊銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,083       ,2006-02-01,英商渣打銀行,5320,12113000000,0,0,0,0,0,0,13427,1805000000
2013-11-26,N007      ,2006-02-01,荷商安銀銀行,0,0,0,0,0,0,0,0,1,1000000
2013-11-26,008       ,2006-02-01,華南商業銀行,79010,188390000000,30339,24395000000,8666,3947000000,8695,4142000000,276160,23043000000
2013-11-26,102       ,2006-02-01,華泰商業銀行,3483,14915000000,4520,14519000000,0,0,0,0,6861,2571000000
2013-11-26,025       ,2006-02-01,菲律賓首都銀行,0,0,0,0,0,0,0,0,488,36000000
2013-11-26,809       ,2006-02-01,萬泰商業銀行,3994,5512000000,1321,1468000000,3311,969000000,0,0,576992,76155000000
2013-11-26,805       ,2006-02-01,遠東國際商業銀行,38112,80313000000,13137,24802000000,20329,4489000000,16866,5861000000,124704,16170000000
2013-11-26,224       ,2006-02-01,金門縣信用合作社,113,172000000,98,267000000,0,0,0,0,35,19000000
2013-11-26,108       ,2006-02-01,陽信商業銀行,21665,41917000000,4402,7399000000,4,2000000,0,0,29706,6770000000
2013-11-26,325       ,2006-02-01,香港上海匯豐銀行,18623,62837000000,23,3000000,0,0,0,0,46263,19917000000
2013-11-26,N019      ,2006-02-01,香港東亞銀行,0,0,0,0,0,0,0,0,751,258000000
2013-11-26,N005      ,2006-02-01,高雄第三信用合作社,2216,2496000000,6797,10195000000,0,0,976,563000000,2850,933000000
2013-11-26,N001      ,2006-02-01,高雄第二信用合作社,2795,4829000000,481,361000000,1,0,2546,1237000000,18508,4277000000
2013-11-26,016       ,2006-02-01,高雄銀行,20169,34703000000,3747,7446000000,0,0,0,0,45301,6636000000
2013-11-26,147       ,2006-03-01,三信商業銀行,5319,15380000000,2132,5277000000,9920,4133000000,0,0,20327,10994000000
2013-11-26,011       ,2006-03-01,上海商業儲蓄銀行,34000,79177000000,216,148000000,8,4000000,0,0,4025,923000000
2013-11-26,822       ,2006-03-01,中國信託商業銀行,186376,305073000000,15418,17247000000,43616,13127000000,0,0,747140,115030000000
2013-11-26,N002      ,2006-03-01,中國國際商業銀行,34221,81909000000,11044,18479000000,2,1000000,8808,5037000000,9758,32181000000
2013-11-26,015       ,2006-03-01,中國輸出入銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,040       ,2006-03-01,中華開發工業銀行,9,24000000,0,0,0,0,0,0,72,29000000
2013-11-26,381       ,2006-03-01,交通銀行,21767,51025000000,4040,11882000000,3024,1194000000,140,36000000,6204,5895000000
2013-11-26,090       ,2006-03-01,加拿大商豐業銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,146       ,2006-03-01,台中市第二信用合作社,11169,18855000000,119,110000000,11,0,0,0,1041,408000000
2013-11-26,012       ,2006-03-01,台北富邦銀行,114644,194829000000,5260,7178000000,5701,2278000000,255,58000000,342970,49274000000
2013-11-26,101       ,2006-03-01,台北市第一信用合作社,3642,8979000000,2642,3853000000,0,0,0,0,2642,854000000
2013-11-26,106       ,2006-03-01,台北市第九信用合作社,2769,6045000000,0,0,0,0,0,0,287,106000000
2013-11-26,104       ,2006-03-01,台北市第五信用合作社,1343,3188000000,13,1000000,0,0,0,0,1607,371000000
2013-11-26,N008      ,2006-03-01,台北縣淡水信用合作社,1649,3698000000,760,1136000000,0,0,0,0,319,872000000
2013-11-26,N000      ,2006-03-01,台北縣淡水第一信用合作社,9988,16869000000,173,179000000,2,1000000,924,354000000,1059,245000000
2013-11-26,188       ,2006-03-01,台南第三信用合作社,2880,5032000000,101,79000000,0,0,0,0,5492,142000000
2013-11-26,N018      ,2006-03-01,台南第六信用合作社,0,0,0,0,0,0,0,0,0,0
2013-11-26,812       ,2006-03-01,台新國際商業銀行,90438,188513000000,242,58000000,71809,22189000000,0,0,616160,111674000000
2013-11-26,N009      ,2006-03-01,合作金庫銀行,168774,281600000000,56077,75307000000,36,6000000,123251,44972000000,25843,10224000000
2013-11-26,N016      ,2006-03-01,嘉義巿第四信用合作社,89,283000000,4,3000000,0,0,0,0,0,0
2013-11-26,178       ,2006-03-01,嘉義市第三信用合作社,972,1339000000,734,1803000000,0,0,0,0,903,458000000
2013-11-26,013       ,2006-03-01,國泰世華商業銀行,134824,243457000000,7193,10465000000,37991,3417000000,0,0,308742,28441000000
2013-11-26,114       ,2006-03-01,基隆市第一信用合作社,5317,7473000000,1154,853000000,0,0,0,0,5289,2711000000
2013-11-26,115       ,2006-03-01,基隆市第二信用合作社,1541,3731000000,320,435000000,156,42000000,0,0,2195,486000000
2013-11-26,814       ,2006-03-01,大眾商業銀行,23595,57491000000,360,355000000,0,0,0,0,283607,21694000000
2013-11-26,816       ,2006-03-01,安泰商業銀行,21129,46294000000,9404,19917000000,15651,4529000000,310,40000000,60540,27712000000
2013-11-26,N017      ,2006-03-01,宜蘭信用合社,709,1187000000,295,377000000,0,0,0,0,460,39000000
2013-11-26,-01       ,2006-03-01,寶華商業銀行,14741,18763000000,14070,16428000000,11945,3306000000,8,9000000,107190,11178000000
2013-11-26,807       ,2006-03-01,建華商業銀行,79738,167754000000,15441,21172000000,9605,3793000000,0,0,25743,13466000000
2013-11-26,009       ,2006-03-01,彰化商業銀行,66572,123035000000,39493,72754000000,0,0,1564,572000000,18614,8966000000
2013-11-26,158       ,2006-03-01,彰化第一信用合作社,1011,1716000000,233,244000000,0,0,0,0,6,2000000
2013-11-26,161       ,2006-03-01,彰化第五信用合作社,530,860000000,10,14000000,0,0,0,0,16,6000000
2013-11-26,162       ,2006-03-01,彰化第六信用合作社,2631,3766000000,889,870000000,0,0,0,0,4994,459000000
2013-11-26,163       ,2006-03-01,彰化第十信用合作社,822,1088000000,5,3000000,0,0,0,0,14,2000000
2013-11-26,165       ,2006-03-01,彰化縣鹿港信用合作社,1093,1591000000,687,942000000,0,0,0,0,1072,258000000
2013-11-26,072       ,2006-03-01,德商德意志銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,087       ,2006-03-01,斐商標準銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,085       ,2006-03-01,新加坡商新加坡華僑銀行,0,0,0,0,0,0,0,0,0,0
2013-11-26,078       ,2006-03-01,新加坡商星展銀行,0,0,0,0,0,0,0,0,0,0
