etl_dt,bank_code,data_dt,bank_nm,cc_f_card_cnt,cc_open_card_cnt,cc_issue_card_cnt,cc_stop_card_cnt,cyc_bal,cc_txn_bal,cc_ln_bal,cc_payment_rate,cc_baddebit_rate,cc_baddebit_bal,cyc_income,txn_fee,cc_ln_fee,auth_store_cnt
2013-11-26 22:33:20.663515,N009      ,2013-03-01 00:00:00,合作金庫銀行,434328,227433,4899,3921,699000000.0,1532000000.0,6000000.0,0.69,278.3,3000000.0,7000000.0,24000000.0,0.0,24981
2013-11-26 22:33:20.667805,N030      ,2013-03-01 00:00:00,小計,34328864,21746648,412084,264117,125239000000,139449000000,2055000000.0,0.97,13878.07,509000000.0,1563000000.0,1966000000.0,75000000.0,0
2013-11-26 22:33:20.61108,N032      ,2013-03-01 00:00:00,財團法人聯合信用卡處理中心,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84325
2013-11-26 22:33:20.684099,N039      ,2013-03-01 00:00:00,香港商台灣環匯亞太信用卡,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9152
2013-11-26 22:33:20.661326,N040      ,2013-03-01 00:00:00,台灣美國運通國際(股)公司,152386,85101,3989,1719,331000000.0,3505000000.0,0.0,0.16,976.43,2000000.0,3000000.0,98000000.0,0.0,73682
2013-11-26 22:33:20.673084,N041      ,2013-03-01 00:00:00,台灣永旺信用卡(股)公司,128944,93381,4657,773,688000000.0,271000000.0,3000000.0,0.17,173.3,1000000.0,10000000.0,5000000.0,0.0,509
2013-11-26 22:33:20.677304,N042      ,2013-03-01 00:00:00,台灣大來國際信用卡(股)公司,31139,11840,9,268,33000000.0,65000000.0,1000000.0,1.35,1233.8,1000000.0,1000000.0,0.0,0.0,3769
2013-11-26 22:33:20.714227,0         ,2013-04-01 00:00:00,總計,34488950,21820068,415618,257285,123275000000,147403000000,2241000000.0,0.32,801.11,410000000.0,1528000000.0,2100000000.0,79000000.0,0
2013-11-26 22:33:20.875508,004       ,2013-04-01 00:00:00,臺灣銀行,218519,110141,855,1737,279000000.0,646000000.0,2000000.0,0.61,192.18,1000000.0,3000000.0,13000000.0,0.0,769
2013-11-26 22:33:20.864686,005       ,2013-04-01 00:00:00,臺灣土地銀行,122120,52301,847,313,251000000.0,340000000.0,1000000.0,1.0,911.1,2000000.0,3000000.0,5000000.0,0.0,2654
2013-11-26 22:33:20.828765,007       ,2013-04-01 00:00:00,第一商業銀行,646856,444464,9767,6446,1195000000.0,2852000000.0,14000000.0,0.19,2069.08,5000000.0,20000000.0,40000000.0,0.0,116
2013-11-26 22:33:20.850797,008       ,2013-04-01 00:00:00,華南商業銀行,582028,362300,11503,5107,619000000.0,1882000000.0,1000000.0,0.12,408.66,0.0,8000000.0,33000000.0,0.0,4641
2013-11-26 22:33:20.833228,009       ,2013-04-01 00:00:00,彰化商業銀行,296461,174372,7233,2213,129000000.0,783000000.0,1000000.0,0.29,545.47,1000000.0,2000000.0,10000000.0,0.0,261
