etl_dt,bank_code,data_dt,bank_nm,my_tot,fy_tot,my_country,fy_country,my_os,fy_os
2014-05-22,N002      ,2006-04-01,中國國際商業銀行,134427000000,237515000000,66633000000.0,111834000000,67794000000.0,125681000000
2014-05-22,N003      ,2006-04-01,臺南區中小企業銀行,817000000.0,1544000000.0,746000000.0,1402000000.0,71000000.0,142000000.0
2014-05-22,N009      ,2006-04-01,合作金庫銀行,20604000000.0,55049000000.0,16162000000.0,51068000000.0,4442000000.0,3981000000.0
2014-05-22,N015      ,2006-04-01,臺中商業銀行,2267000000.0,3531000000.0,1665000000.0,3003000000.0,602000000.0,528000000.0
2014-05-22,N028      ,2006-04-01,外國銀行在台分行,208557000000,244037000000,142063000000,125029000000,66494000000.0,119008000000
2014-05-22,0         ,2006-05-01,總計,912127000000,1722733000000,575607000000,1094898000000,336520000000,627835000000
2014-05-22,004       ,2006-05-01,臺灣銀行,30857000000.0,110062000000,23063000000.0,93929000000.0,7794000000.0,16133000000.0
2014-05-22,005       ,2006-05-01,臺灣土地銀行,9318000000.0,39632000000.0,8164000000.0,28085000000.0,1154000000.0,11547000000.0
2014-05-22,006       ,2006-05-01,合作金庫商業銀行,28544000000.0,77603000000.0,23005000000.0,68308000000.0,5539000000.0,9295000000.0
2014-05-22,007       ,2006-05-01,第一商業銀行,58453000000.0,97206000000.0,37143000000.0,69720000000.0,21310000000.0,27486000000.0
2014-05-22,008       ,2006-05-01,華南商業銀行,67613000000.0,116445000000,45609000000.0,85094000000.0,22004000000.0,31351000000.0
2014-05-22,009       ,2006-05-01,彰化商業銀行,48833000000.0,70257000000.0,32113000000.0,51075000000.0,16720000000.0,19182000000.0
2014-05-22,-01       ,2006-05-01,臺東區中小企業銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,011       ,2006-05-01,上海商業儲蓄銀行,42965000000.0,58090000000.0,17487000000.0,25699000000.0,25478000000.0,32391000000.0
2014-05-22,012       ,2006-05-01,台北富邦銀行,24816000000.0,56082000000.0,22359000000.0,51832000000.0,2457000000.0,4250000000.0
2014-05-22,013       ,2006-05-01,國泰世華商業銀行,20652000000.0,38830000000.0,15078000000.0,29332000000.0,5574000000.0,9498000000.0
2014-05-22,015       ,2006-05-01,中國輸出入銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,016       ,2006-05-01,高雄銀行,1752000000.0,3189000000.0,1473000000.0,2803000000.0,279000000.0,386000000.0
2014-05-22,040       ,2006-05-01,中華開發工業銀行,3923000000.0,5037000000.0,316000000.0,1003000000.0,3607000000.0,4034000000.0
2014-05-22,048       ,2006-05-01,臺灣工業銀行,377000000.0,5204000000.0,187000000.0,4036000000.0,190000000.0,1168000000.0
2014-05-22,050       ,2006-05-01,臺灣中小企業銀行,29394000000.0,39445000000.0,19552000000.0,28487000000.0,9842000000.0,10958000000.0
2014-05-22,052       ,2006-05-01,新竹國際商業銀行,5934000000.0,8867000000.0,5276000000.0,7947000000.0,658000000.0,920000000.0
2014-05-22,054       ,2006-05-01,京城商業銀行,743000000.0,1707000000.0,676000000.0,1564000000.0,67000000.0,143000000.0
2014-05-22,102       ,2006-05-01,華泰商業銀行,307000000.0,1011000000.0,299000000.0,1002000000.0,8000000.0,9000000.0
2014-05-22,103       ,2006-05-01,臺灣新光商業銀行,1128000000.0,2925000000.0,924000000.0,2580000000.0,-924000000.0,-2580000000.0
2014-05-22,108       ,2006-05-01,陽信商業銀行,781000000.0,2536000000.0,721000000.0,2334000000.0,60000000.0,202000000.0
2014-05-22,118       ,2006-05-01,板信商業銀行,786000000.0,2233000000.0,604000000.0,1537000000.0,182000000.0,696000000.0
2014-05-22,147       ,2006-05-01,三信商業銀行,88000000.0,563000000.0,88000000.0,563000000.0,0.0,0.0
2014-05-22,151       ,2006-05-01,第七商業銀行,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,381       ,2006-05-01,交通銀行,8965000000.0,28028000000.0,8046000000.0,19676000000.0,919000000.0,8352000000.0
2014-05-22,803       ,2006-05-01,聯邦商業銀行,4045000000.0,13934000000.0,2881000000.0,8771000000.0,1164000000.0,5163000000.0
2014-05-22,805       ,2006-05-01,遠東國際商業銀行,7427000000.0,23652000000.0,4720000000.0,11486000000.0,2707000000.0,12166000000.0
2014-05-22,807       ,2006-05-01,建華商業銀行,33231000000.0,61309000000.0,15635000000.0,28302000000.0,17596000000.0,33007000000.0
2014-05-22,808       ,2006-05-01,玉山商業銀行,13509000000.0,39425000000.0,7890000000.0,25574000000.0,5619000000.0,13851000000.0
2014-05-22,809       ,2006-05-01,萬泰商業銀行,1701000000.0,3030000000.0,1391000000.0,2581000000.0,310000000.0,449000000.0
2014-05-22,812       ,2006-05-01,台新國際商業銀行,26113000000.0,85434000000.0,17781000000.0,53420000000.0,8332000000.0,32014000000.0
2014-05-22,814       ,2006-05-01,大眾商業銀行,9205000000.0,21981000000.0,6327000000.0,11949000000.0,2878000000.0,10032000000.0
2014-05-22,815       ,2006-05-01,日盛國際商業銀行,4262000000.0,6064000000.0,3640000000.0,4748000000.0,622000000.0,1316000000.0
2014-05-22,816       ,2006-05-01,安泰商業銀行,2274000000.0,5462000000.0,1877000000.0,5146000000.0,397000000.0,316000000.0
2014-05-22,822       ,2006-05-01,中國信託商業銀行,64588000000.0,126102000000,37955000000.0,67189000000.0,26633000000.0,58913000000.0
2014-05-22,N002      ,2006-05-01,中國國際商業銀行,123049000000,242117000000,56213000000.0,115460000000,66836000000.0,126657000000
2014-05-22,N015      ,2006-05-01,臺中商業銀行,2220000000.0,3759000000.0,1693000000.0,3193000000.0,527000000.0,566000000.0
2014-05-22,N028      ,2006-05-01,外國銀行在台分行,192608000000,244723000000,131183000000,126307000000,61425000000.0,118416000000
2014-05-22,0         ,2006-06-01,總計,942770000000,1749042000000,597102000000,1110997000000,345668000000,638045000000
2014-05-22,004       ,2006-06-01,臺灣銀行,36846000000.0,118421000000,28917000000.0,102970000000,7929000000.0,15451000000.0
2014-05-22,005       ,2006-06-01,臺灣土地銀行,9103000000.0,40038000000.0,7881000000.0,26668000000.0,1222000000.0,13370000000.0
2014-05-22,006       ,2006-06-01,合作金庫商業銀行,28562000000.0,76347000000.0,22350000000.0,67355000000.0,6212000000.0,8992000000.0
2014-05-22,007       ,2006-06-01,第一商業銀行,58490000000.0,100665000000,36360000000.0,71974000000.0,22130000000.0,28691000000.0
2014-05-22,008       ,2006-06-01,華南商業銀行,67843000000.0,123633000000,45762000000.0,92353000000.0,22081000000.0,31280000000.0
