年月,銀行,項目,數值
10108,　華泰商業銀行,本國銀行,簽帳手續費收入,1000000
10108,　華泰商業銀行,本國銀行,預借現金手續費,0
10108,　華泰商業銀行,本國銀行,收單特約商店家數,0
10108,　臺灣新光商業銀行,本國銀行,流通卡數,835548
10108,　臺灣新光商業銀行,本國銀行,有效卡數,427524
10108,　臺灣新光商業銀行,本國銀行,本月發卡數,9093
10108,　臺灣新光商業銀行,本國銀行,本月停卡數,4546
10108,　臺灣新光商業銀行,本國銀行,循環信用餘額,3054000000
10108,　臺灣新光商業銀行,本國銀行,本月簽帳金額,3261000000
10108,　臺灣新光商業銀行,本國銀行,本月預借現金金額,44000000
10108,　臺灣新光商業銀行,本國銀行,預期帳款比率,0.19
10108,　臺灣新光商業銀行,本國銀行,底被呆帳提足率,476.74
10108,　臺灣新光商業銀行,本國銀行,本月轉銷呆帳金額,7000000
10108,　臺灣新光商業銀行,本國銀行,循環信用利息收入,34000000
10108,　臺灣新光商業銀行,本國銀行,簽帳手續費收入,69000000
10108,　臺灣新光商業銀行,本國銀行,預借現金手續費,1000000
10108,　臺灣新光商業銀行,本國銀行,收單特約商店家數,2243
10108,　陽信商業銀行,本國銀行,流通卡數,55391
10108,　陽信商業銀行,本國銀行,有效卡數,32113
10108,　陽信商業銀行,本國銀行,本月發卡數,769
10108,　陽信商業銀行,本國銀行,本月停卡數,463
10108,　陽信商業銀行,本國銀行,循環信用餘額,403000000
10108,　陽信商業銀行,本國銀行,本月簽帳金額,199000000
10108,　陽信商業銀行,本國銀行,本月預借現金金額,1000000
10108,　陽信商業銀行,本國銀行,預期帳款比率,0.78
10108,　陽信商業銀行,本國銀行,底被呆帳提足率,1337.89
10108,　陽信商業銀行,本國銀行,本月轉銷呆帳金額,4000000
10108,　陽信商業銀行,本國銀行,循環信用利息收入,4000000
10108,　陽信商業銀行,本國銀行,簽帳手續費收入,3000000
10108,　陽信商業銀行,本國銀行,預借現金手續費,0
10108,　陽信商業銀行,本國銀行,收單特約商店家數,0
10108,　三信商業銀行,本國銀行,流通卡數,15173
10108,　三信商業銀行,本國銀行,有效卡數,10273
10108,　三信商業銀行,本國銀行,本月發卡數,215
10108,　三信商業銀行,本國銀行,本月停卡數,116
10108,　三信商業銀行,本國銀行,循環信用餘額,51000000
10108,　三信商業銀行,本國銀行,本月簽帳金額,114000000
10108,　三信商業銀行,本國銀行,本月預借現金金額,0
10108,　三信商業銀行,本國銀行,預期帳款比率,0.46
10108,　三信商業銀行,本國銀行,底被呆帳提足率,1449.54
10108,　三信商業銀行,本國銀行,本月轉銷呆帳金額,0
10108,　三信商業銀行,本國銀行,循環信用利息收入,0
10108,　三信商業銀行,本國銀行,簽帳手續費收入,1000000
10108,　三信商業銀行,本國銀行,預借現金手續費,0
10108,　三信商業銀行,本國銀行,收單特約商店家數,0
10108,　聯邦商業銀行,本國銀行,流通卡數,1862028
10108,　聯邦商業銀行,本國銀行,有效卡數,811517
10108,　聯邦商業銀行,本國銀行,本月發卡數,19976
10108,　聯邦商業銀行,本國銀行,本月停卡數,18280
10108,　聯邦商業銀行,本國銀行,循環信用餘額,6261000000
10108,　聯邦商業銀行,本國銀行,本月簽帳金額,3740000000
10108,　聯邦商業銀行,本國銀行,本月預借現金金額,91000000
10108,　聯邦商業銀行,本國銀行,預期帳款比率,0.33
10108,　聯邦商業銀行,本國銀行,底被呆帳提足率,135.32
10108,　聯邦商業銀行,本國銀行,本月轉銷呆帳金額,16000000
10108,　聯邦商業銀行,本國銀行,循環信用利息收入,69000000
10108,　聯邦商業銀行,本國銀行,簽帳手續費收入,57000000
10108,　聯邦商業銀行,本國銀行,預借現金手續費,1000000
10108,　聯邦商業銀行,本國銀行,收單特約商店家數,2359
10108,　遠東國際商業銀行,本國銀行,流通卡數,1391051
10108,　遠東國際商業銀行,本國銀行,有效卡數,860468
10108,　遠東國際商業銀行,本國銀行,本月發卡數,22806
10108,　遠東國際商業銀行,本國銀行,本月停卡數,7253
10108,　遠東國際商業銀行,本國銀行,循環信用餘額,7112000000
10108,　遠東國際商業銀行,本國銀行,本月簽帳金額,4751000000
10108,　遠東國際商業銀行,本國銀行,本月預借現金金額,230000000
10108,　遠東國際商業銀行,本國銀行,預期帳款比率,0.4
10108,　遠東國際商業銀行,本國銀行,底被呆帳提足率,103.23
10108,　遠東國際商業銀行,本國銀行,本月轉銷呆帳金額,22000000
10108,　遠東國際商業銀行,本國銀行,循環信用利息收入,80000000
10108,　遠東國際商業銀行,本國銀行,簽帳手續費收入,56000000
10108,　遠東國際商業銀行,本國銀行,預借現金手續費,2000000
10108,　遠東國際商業銀行,本國銀行,收單特約商店家數,0
10108,　元大商業銀行,本國銀行,流通卡數,260684
10108,　元大商業銀行,本國銀行,有效卡數,98745
10108,　元大商業銀行,本國銀行,本月發卡數,668
10108,　元大商業銀行,本國銀行,本月停卡數,1499
10108,　元大商業銀行,本國銀行,循環信用餘額,710000000
10108,　元大商業銀行,本國銀行,本月簽帳金額,849000000
10108,　元大商業銀行,本國銀行,本月預借現金金額,2000000
10108,　元大商業銀行,本國銀行,預期帳款比率,0.38
10108,　元大商業銀行,本國銀行,底被呆帳提足率,1204.01
10108,　元大商業銀行,本國銀行,本月轉銷呆帳金額,2000000
10108,　元大商業銀行,本國銀行,循環信用利息收入,7000000
10108,　元大商業銀行,本國銀行,簽帳手續費收入,13000000
10108,　元大商業銀行,本國銀行,預借現金手續費,0
10108,　元大商業銀行,本國銀行,收單特約商店家數,3
10108,　永豐商業銀行,本國銀行,流通卡數,2235811
10108,　永豐商業銀行,本國銀行,有效卡數,1330089
10108,　永豐商業銀行,本國銀行,本月發卡數,25971
10108,　永豐商業銀行,本國銀行,本月停卡數,19664
10108,　永豐商業銀行,本國銀行,循環信用餘額,5836000000
10108,　永豐商業銀行,本國銀行,本月簽帳金額,7739000000
10108,　永豐商業銀行,本國銀行,本月預借現金金額,131000000
10108,　永豐商業銀行,本國銀行,預期帳款比率,0.44
10108,　永豐商業銀行,本國銀行,底被呆帳提足率,812.04
10108,　永豐商業銀行,本國銀行,本月轉銷呆帳金額,16000000
10108,　永豐商業銀行,本國銀行,循環信用利息收入,88000000
10108,　永豐商業銀行,本國銀行,簽帳手續費收入,104000000
