年月,銀行,銀行類別,項目,數值
10003,總計,外國銀行在台分行,購置汽車貸款戶數,3203
10003,總計,外國銀行在台分行,購置汽車貸款餘額,1914000000
10003,總計,外國銀行在台分行,機關團體職工福利貸款戶數,10
10003,總計,外國銀行在台分行,機關團體職工福利貸款餘額,2000000
10003,總計,外國銀行在台分行,其他個人消費貸款戶數,68733
10003,總計,外國銀行在台分行,其他個人消費貸款餘額,19861000000
10003,日商瑞穗實業銀行,外國銀行在台分行,購置住宅貸款戶數,0
10003,日商瑞穗實業銀行,外國銀行在台分行,購置住宅貸款餘額,0
10003,日商瑞穗實業銀行,外國銀行在台分行,房屋修繕貸款戶數,0
10003,日商瑞穗實業銀行,外國銀行在台分行,房屋修繕貸款餘額,0
10003,日商瑞穗實業銀行,外國銀行在台分行,購置汽車貸款戶數,0
10003,日商瑞穗實業銀行,外國銀行在台分行,購置汽車貸款餘額,0
10003,日商瑞穗實業銀行,外國銀行在台分行,機關團體職工福利貸款戶數,0
10003,日商瑞穗實業銀行,外國銀行在台分行,機關團體職工福利貸款餘額,0
10003,日商瑞穗實業銀行,外國銀行在台分行,其他個人消費貸款戶數,0
10003,日商瑞穗實業銀行,外國銀行在台分行,其他個人消費貸款餘額,0
10003,美商美國銀行,外國銀行在台分行,購置住宅貸款戶數,0
