年月,銀行,銀行類別,項目,數值,英文欄位
10008,台新國際商業銀行,本國銀行,個人支存戶數,76627,P_Cd_Cnt
10008,台新國際商業銀行,本國銀行,個人支存餘額,581000000,P_Cd_Bal
10008,台新國際商業銀行,本國銀行,其他支存戶數,218,O_Cd_Cnt
10008,台新國際商業銀行,本國銀行,其他支存餘額,182000000,O_Cd_Bal
10008,大眾商業銀行,本國銀行,公司支存戶數,18018,C_Cd_Cnt
10008,大眾商業銀行,本國銀行,公司支存餘額,1007000000,C_Cd_Bal
10008,大眾商業銀行,本國銀行,個人支存戶數,70669,P_Cd_Cnt
10008,大眾商業銀行,本國銀行,個人支存餘額,424000000,P_Cd_Bal
10008,大眾商業銀行,本國銀行,其他支存戶數,114,O_Cd_Cnt
10008,大眾商業銀行,本國銀行,其他支存餘額,41000000,O_Cd_Bal
10008,日盛國際商業銀行,本國銀行,公司支存戶數,11680,C_Cd_Cnt
10008,日盛國際商業銀行,本國銀行,公司支存餘額,458000000,C_Cd_Bal
10008,日盛國際商業銀行,本國銀行,個人支存戶數,26253,P_Cd_Cnt
10008,日盛國際商業銀行,本國銀行,個人支存餘額,207000000,P_Cd_Bal
10008,日盛國際商業銀行,本國銀行,其他支存戶數,121,O_Cd_Cnt
10008,日盛國際商業銀行,本國銀行,其他支存餘額,13000000,O_Cd_Bal
10008,安泰商業銀行,本國銀行,公司支存戶數,5855,C_Cd_Cnt
10008,安泰商業銀行,本國銀行,公司支存餘額,1026000000,C_Cd_Bal
10008,安泰商業銀行,本國銀行,個人支存戶數,14857,P_Cd_Cnt
10008,安泰商業銀行,本國銀行,個人支存餘額,625000000,P_Cd_Bal
10008,安泰商業銀行,本國銀行,其他支存戶數,163,O_Cd_Cnt
10008,安泰商業銀行,本國銀行,其他支存餘額,223000000,O_Cd_Bal
10008,中國信託商業銀行,本國銀行,公司支存戶數,23448,C_Cd_Cnt
10008,中國信託商業銀行,本國銀行,公司支存餘額,3642000000,C_Cd_Bal
10008,中國信託商業銀行,本國銀行,個人支存戶數,114199,P_Cd_Cnt
10008,中國信託商業銀行,本國銀行,個人支存餘額,1603000000,P_Cd_Bal
10008,中國信託商業銀行,本國銀行,其他支存戶數,740,O_Cd_Cnt
10008,中國信託商業銀行,本國銀行,其他支存餘額,1881000000,O_Cd_Bal
10008,臺灣中小企業銀行,本國銀行,公司支存戶數,69305,C_Cd_Cnt
10008,臺灣中小企業銀行,本國銀行,公司支存餘額,13180000000,C_Cd_Bal
10008,臺灣中小企業銀行,本國銀行,個人支存戶數,88104,P_Cd_Cnt
10008,臺灣中小企業銀行,本國銀行,個人支存餘額,3253000000,P_Cd_Bal
10008,臺灣中小企業銀行,本國銀行,其他支存戶數,745,O_Cd_Cnt
10008,臺灣中小企業銀行,本國銀行,其他支存餘額,1014000000,O_Cd_Bal
10008,渣打國際商業銀行,本國銀行,公司支存戶數,18399,C_Cd_Cnt
10008,渣打國際商業銀行,本國銀行,公司支存餘額,3131000000,C_Cd_Bal
10008,渣打國際商業銀行,本國銀行,個人支存戶數,47220,P_Cd_Cnt
10008,渣打國際商業銀行,本國銀行,個人支存餘額,1008000000,P_Cd_Bal
10008,渣打國際商業銀行,本國銀行,其他支存戶數,1072,O_Cd_Cnt
10008,渣打國際商業銀行,本國銀行,其他支存餘額,50000000,O_Cd_Bal
