年月,銀行,項目,數值
9602,中國輸出入銀行,海外外匯活期存款,0
9602,中國輸出入銀行,海外外匯定期存款,0
9602,中國輸出入銀行,海外外匯總存款,0
9602,高雄銀行,國內外匯活期存款,1646000000
9602,高雄銀行,國內外匯定期存款,3311000000
9602,高雄銀行,國內外匯總存款,4957000000
9602,高雄銀行,海外外匯活期存款,186000000
9602,高雄銀行,海外外匯定期存款,600000000
9602,高雄銀行,海外外匯總存款,786000000
9602,兆豐國際商業銀行,國內外匯活期存款,65715000000
9602,兆豐國際商業銀行,國內外匯定期存款,137557000000
9602,兆豐國際商業銀行,國內外匯總存款,203272000000
9602,兆豐國際商業銀行,海外外匯活期存款,77351000000
9602,兆豐國際商業銀行,海外外匯定期存款,149817000000
9602,兆豐國際商業銀行,海外外匯總存款,227169000000
9602,中華開發工業銀行,國內外匯活期存款,1608000000
9602,中華開發工業銀行,國內外匯定期存款,326000000
9602,中華開發工業銀行,國內外匯總存款,1934000000
9602,中華開發工業銀行,海外外匯活期存款,545000000
9602,中華開發工業銀行,海外外匯定期存款,9656000000
9602,中華開發工業銀行,海外外匯總存款,10201000000
9602,臺灣工業銀行,國內外匯活期存款,448000000
9602,臺灣工業銀行,國內外匯定期存款,4920000000
9602,臺灣工業銀行,國內外匯總存款,5368000000
9602,臺灣工業銀行,海外外匯活期存款,48000000
9602,臺灣工業銀行,海外外匯定期存款,3101000000
9602,臺灣工業銀行,海外外匯總存款,3149000000
9602,華泰商業銀行,國內外匯活期存款,240000000
9602,華泰商業銀行,國內外匯定期存款,769000000
9602,華泰商業銀行,國內外匯總存款,1008000000
9602,華泰商業銀行,海外外匯活期存款,8000000
9602,華泰商業銀行,海外外匯定期存款,23000000
9602,華泰商業銀行,海外外匯總存款,32000000
9602,臺灣新光商業銀行,國內外匯活期存款,1623000000
9602,臺灣新光商業銀行,國內外匯定期存款,8440000000
9602,臺灣新光商業銀行,國內外匯總存款,10063000000
9602,臺灣新光商業銀行,海外外匯活期存款,356000000
9602,臺灣新光商業銀行,海外外匯定期存款,820000000
9602,臺灣新光商業銀行,海外外匯總存款,1176000000
9602,陽信商業銀行,國內外匯活期存款,995000000
9602,陽信商業銀行,國內外匯定期存款,2949000000
9602,陽信商業銀行,國內外匯總存款,3943000000
9602,陽信商業銀行,海外外匯活期存款,138000000
9602,陽信商業銀行,海外外匯定期存款,269000000
9602,陽信商業銀行,海外外匯總存款,408000000
9602,板信商業銀行,國內外匯活期存款,851000000
9602,板信商業銀行,國內外匯定期存款,2103000000
9602,板信商業銀行,國內外匯總存款,2954000000
9602,板信商業銀行,海外外匯活期存款,183000000
9602,板信商業銀行,海外外匯定期存款,1025000000
9602,板信商業銀行,海外外匯總存款,1208000000
